conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2039130601471775232.00000000000000000000,Tue Mar 31 23:59:55 +0000 2026,0,Ini belum dibenerin juga min @PT_Transjakarta ? Kasihan lho petugasnya. Itu foto kemarin td saya lewat jg masih rusak cuma ga foto aja. D cek lah itu ganggu flow lho. Lokasi halte Rasuna Said https://t.co/6WF9iKwJQk https://t.co/Azd1OFPQic,2039130601471775232.00000000000000000000,https://pbs.twimg.com/media/HExyeAqbEAAHZyB.jpg,,in,,0,1,0,https://x.com/undefined/status/2039130601471775215,97810286,
2039108614779265536.00000000000000000000,Tue Mar 31 22:32:33 +0000 2026,1,#INFOTRANSJAKARTA | Layanan Mikrotrans JAK 07: Tanah abang - Grogol via Tawakal mengalami pengalihan rute karena adanya penutupan jalan di sekitar Jl Kota bambu Utara. Sementara tidak melayani bus stop Jl Sawo Tomang 2 s/d Simpang Semangka 1. Pantau informasi terkini layanan,2039108614779265536.00000000000000000000,,,in,,0,1,0,https://x.com/undefined/status/2039108614779265428,104556071,
2038920596076007680.00000000000000000000,Tue Mar 31 10:05:26 +0000 2026,5,Perjalananmu GRATIS buat naik TJ KRL LRT &amp; MRT Pakai QRIS Tap Aplikasi ShopeePay! Pastikan kamu memiliki saldo min. 25RB di akun ShopeePay-mu). Promo Diskon 100% s.d. 20RB berlaku untuk 3x/pengguna/bulan. Jangan khawatir karena perjalananmu selanjutnya pasti dapat Cashback https://t.co/D9WA2U48yq,2038920596076007680.00000000000000000000,https://pbs.twimg.com/ext_tw_video_thumb/2038920520549191680/pu/img/bH4YG7BH4LKY32Vz.jpg,,in,,0,2,1,https://x.com/undefined/status/2038920596076007590,1290148463087296512.00000000000000000000,
2039050393804808448.00000000000000000000,Tue Mar 31 18:41:12 +0000 2026,1,#INFOTRANSJAKARTA | Koridor 1: Blok M - Kota mengalami pengalihan rute dikarenakan adanya perbaikan jalan di jalur Halte Kebon Sirih. Sementara arah Blok M tidak melayani Halte Kebon Sirih. Pantau informasi terkini layanan Transjakarta melalui X: pt_transjakarta instagram: https://t.co/NqFHwCMj0j,2039050393804808448.00000000000000000000,https://pbs.twimg.com/media/HEwpfTnbUAAGJ8_.jpg,,in,,0,0,0,https://x.com/undefined/status/2039050393804808365,104556071,
2039054968334819584.00000000000000000000,Tue Mar 31 18:59:22 +0000 2026,2,#INFOTRANSJAKARTA | Koridor 2: Pulo Gadung - Monumen Nasional mengalami pengalihan rute dikarenakan adanya pekerjaan perbaikan jalan di sekitar halte Pedongkelan. Sementara arah Monumen Nasional tidak melayani Halte Pedongkelan. Pantau informasi terkini layanan Transjakarta,2039054968334819584.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2039054968334819533,104556071,
2039071356051243264.00000000000000000000,Tue Mar 31 20:04:30 +0000 2026,2,#INFOTRANSJAKARTA | Koridor 4: Pulo Gadung - Galunggung di Halte Pasar Rumput dan Halte Manggarai arah Pulo Gadung beroperasi kembali melayani pelanggan tanpa pengalihan. Pantau informasi terkini layanan Transjakarta melalui X: pt_transjakarta instagram: infotije https://t.co/MJ3ILxpf2K,2039071356051243264.00000000000000000000,https://pbs.twimg.com/media/HEw8je3aIAAF5dD.jpg,,in,,0,0,0,https://x.com/undefined/status/2039071356051243267,104556071,
2039113426816082432.00000000000000000000,Tue Mar 31 23:34:40 +0000 2026,0,@shwanre @shwanre Hai Kak silakan naik koridor 7 arah Kampung Melayu dan turun di Halte Cawang Sentral. Kemudian naik koridor 9 arah Pluit turun di Halte Pancoran Tugu. Kemudian berpindah ke Bus Stop Santo Lukas naik rute 4B arah UI turun di Bus Stop St. Tj. Barat 1. Terima kasih ^LL,2039124248976036096.00000000000000000000,,shwanre,in,,0,1,0,https://x.com/undefined/status/2039124248976036097,104556071,
2039086579529208320.00000000000000000000,Tue Mar 31 21:04:59 +0000 2026,1,#INFOTRANSJAKARTA | Koridor 4: Pulo Gadung - Galunggung di Halte Matraman arah Galunggung saat ini sudah beroperasi normal kembali melayani pelanggan tanpa pengalihan. Pantau informasi terkini layanan Transjakarta melalui X: pt_transjakarta instagram: infotije pt_transjakarta,2039086579529208320.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2039086579529208251,104556071,
2039110781036642304.00000000000000000000,Tue Mar 31 22:52:41 +0000 2026,0,@likeastar12_ @likeastar12_ Hai kak. Kami sangat prihatin dengan apa yang terjadi dan sangat serius dalam menangani insiden ini akan segera dilakukan investigasi dan mengambil tindakan terhadap pramudi tersebut. Berikut nomor pelaporannya TJ-TIC04260000031. Terima kasih. ^ZN,2039113682303815680.00000000000000000000,,likeastar12_,in,,0,0,0,https://x.com/undefined/status/2039113682303815706,104556071,
2039119615616503808.00000000000000000000,Tue Mar 31 23:24:05 +0000 2026,0,@ris_fer @ris_fer Hai Kak. Mohon maaf atas ketidaknyamanannya. Keluhan yang disampaikan akan menjadi perhatian serta bahan evaluasi untuk meningkatkan kualitas layanan Transjakarta. Terima kasih ^LL,2039121583026122752.00000000000000000000,,ris_fer,in,,0,0,0,https://x.com/undefined/status/2039121583026122792,104556071,
